url,is_valid,error_message,checked_at
https://www.synthminds.ai/,True,,2025-01-22T14:44:50.537912
https://badgen.net/github/stars/e2b-dev/e2b,True,,2025-01-22T14:44:50.565936
https://www.google.com,True,,2025-01-22T14:44:51.016792
https://www.whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/,False,HTTP 404,2025-01-22T15:42:56.842571
http://miniwob.farama.org/,True,,2025-01-22T14:44:51.142971
https://menlovc.com/perspective/the-modern-ai-stack-design-principles-for-the-future-of-enterprise-ai-architectures/,True,,2025-01-22T15:21:39.980887
https://www.microsoft.com/en-us/microsoft-365/products-apps-services,True,,2025-01-22T14:44:51.180101
https://simonwillison.net/2023/May/4/no-moat/(,False,HTTP 404,2025-01-22T15:42:57.301574
https://gptnavigatorpro.com/,True,,2025-01-22T14:44:51.274120
https://github.com/mintplex-labs/vector-admin,True,,2025-01-22T14:44:51.475058
https://crfm.stanford.edu/2023/06/15/eu-ai-act.html,True,,2025-01-22T14:44:51.480138
https://github.com/e2b-dev/e2b,True,,2025-01-22T14:44:51.482473
https://pecb.com/article/navigating-iso-standards-and-ai-governance-for-a-secure-future,True,,2025-01-22T14:44:51.489520
https://github.com/ItzCrazyKns/Perplexica,True,,2025-01-22T14:44:51.512568
https://www.notion.so,True,,2025-01-22T14:44:51.533630
https://badgen.net/github/stars/llmonitor/llmonitor,True,,2025-01-22T14:44:51.625669
https://www.govops.ca.gov/wp-content/uploads/sites/11/2023/11/GenAI-EO-1-Report_FINAL.pdf,True,,2025-01-22T14:44:51.645080
https://chrome.google.com/webstore/detail/chatgpt-prompt-genius/jjdnakkfjnnbbckhifcfchagnpofjffo,True,,2025-01-22T14:44:51.647860
https://mentat.ai/,True,,2025-01-22T14:44:51.682361
https://github.com/aounon/llm-rank-optimizer,True,,2025-01-22T14:44:51.719001
https://www.mem.ai,True,,2025-01-22T14:44:51.744526
https://app.maxai.me/my-plan,True,,2025-01-22T14:44:51.797772
https://arxiv.org/abs/2404.07981,True,,2025-01-22T14:44:51.856558
https://cdn.openai.com/openai-preparedness-framework-beta.pdf,True,,2025-01-22T14:44:51.863669
https://cltc.berkeley.edu/wp-content/uploads/2023/11/Berkeley-GPAIS-Foundation-Model-Risk-Management-Standards-Profile-v1.0.pdf,True,,2025-01-22T14:44:51.881712
https://github.com/Mintplex-Labs/openai-assistant-swarm,True,,2025-01-22T14:44:51.914508
